<?xml version="1.0" encoding="utf-8"?>



 "мы" "SPRO,мн,1-л=им" Мы
 "быть" "V,нп=(непрош,мн,изъяв,1-л|мн,пов,1-л)" будем
 "жить" "V,несов,нп=инф" жить
 "с" "PR=" с
 "ты" "SPRO,ед,2-л=твор" тобой
 "на" "PR=" на
 "берег" "S,муж,неод=(дат,ед|местн,ед)" берегу
 "отгораживаться" "V,нп=прош,деепр,сов" отгородившись
 "высоченный" "A=(пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен)" высоченной
 "дамба" "S,жен,неод=твор,ед" дамбой
 "от" "PR=" от
 "континент" "S,муж,неод=род,ед" континента
 "в" "PR=" в
 "небольшой" "A=(пр,ед,полн,муж|пр,ед,полн,сред)" небольшом
 "круг" "S,муж,неод=(дат,ед|местн,ед)" кругу
 "сооружать" "V=(прош,пр,ед,прич,полн,муж,сов,страд,пе|прош,пр,ед,прич,полн,сред,сов,страд,пе)" сооруженном
 "самодельный" "A=(пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен)" самодельной
 "лампа" "S,жен,неод=твор,ед" лампой
 "мы" "SPRO,мн,1-л=им" Мы
 "быть" "V,нп=(непрош,мн,изъяв,1-л|мн,пов,1-л)" будем
 "в" "PR=" в
 "карта" "S,жен,неод=(вин,мн|род,ед|им,мн)" карты
 "воевать" "V,несов,нп=инф" воевать
 "с" "PR=" с
 "ты" "SPRO,ед,2-л=твор" тобой
 "и" "CONJ=" и
 "слушать" "V,несов,пе=инф" слушать
 "как" "CONJ=" как
 "безумствовать" "V,несов,нп=непрош,ед,изъяв,3-л" безумствует
 "прибой" "S,муж,неод=(вин,ед|им,ед)" прибой
 "покашливать" "V,несов,нп=инф" покашливать
 "вздыхать" "V,нп=непрош,деепр,несов" вздыхая
 "неприметно" "ADV=" неприметно
 "при" "PR=" при
 "слишком" "ADV=" слишком
 "сильный" "A=(пр,мн,полн|вин,мн,полн,од|род,мн,полн)" сильных
 "дуновение" "S,сред,неод=пр,мн" дуновеньях
 "ветер" "S,муж,неод=(вин,мн|род,ед|им,мн)" ветра
 "я" "SPRO,ед,1-л=им" Я
 "быть" "V,нп=непрош,ед,изъяв,1-л" буду
 "старый" "A=ед,кр,муж" стар
 "а" "CONJ=" а
 "ты" "SPRO,ед,2-л=им" ты
 "ты" "SPRO,ед,2-л=им" ты
 "молодой" "A=ед,кр,жен" молода
 "но" "CONJ=" Но
 "выходить" "V,нп=непрош,ед,изъяв,3-л,сов" выйдет
 "так" "ADVPRO=" так
 "как" "ADVPRO=" как
 "учить" "V,несов,пе=непрош,мн,изъяв,3-л" учат
 "пионер" "S,муж,од=им,мн" пионеры
 "что" "CONJ=" что
 "счет" "S,муж,неод=(вин,ед|им,ед)" счет
 "пойти" "V,сов,нп=непрош,ед,изъяв,3-л" пойдет
 "на" "PR=" на
 "день" "S,муж,неод=(вин,мн|им,мн)" дни
 "не" "PART=" не
 "на" "PR=" на
 "год" "S,муж,неод=(вин,мн|род,ед|им,мн)" года
